Date,Team1,Team2,Group
Friday 10 June 2016,France,Romania,A
Saturday 11 June 2016,Albania,Switzerland,A
Saturday 11 June 2016,Wales,Slovakia,B
Saturday 11 June 2016,England,Russia,B
Sunday 12 June 2016,Turkey,Croatia,D
Sunday 12 June 2016,Poland,Northern Ireland,C
Sunday 12 June 2016,Germany,Ukraine,C
Monday 13 June 2016,Spain,Czech Republic,D
Monday 13 June 2016,Republic of Ireland,Sweden,E
Monday 13 June 2016,Belgium,Italy,E
Tuesday 14 June 2016,Austria,Hungary,F
Tuesday 14 June 2016,Portugal,Iceland,F
Wednesday 15 June 2016,Russia,Slovakia,B
Wednesday 15 June 2016,Romania,Switzerland,A
Wednesday 15 June 2016,France,Albania,A
Thursday 16 June 2016,England,Wales,B
Thursday 16 June 2016,Ukraine,Northern Ireland,C
Thursday 16 June 2016,Germany,Poland,C
Friday 17 June 2016,Italy,Sweden,E
Friday 17 June 2016,Czech Republic,Croatia,D
Friday 17 June 2016,Spain,Turkey,D
Saturday 18 June 2016,Belgium,Republic of Ireland,E
Saturday 18 June 2016,Iceland,Hungary,F
Saturday 18 June 2016,Portugal,Austria,F
Sunday 19 June 2016,Switzerland,France,A
Sunday 19 June 2016,Romania,Albania,A
Monday 20 June 2016,Slovakia,England,B
Monday 20 June 2016,Russia,Wales,B
Tuesday 21 June 2016,Northern Ireland,Germany,C
Tuesday 21 June 2016,Ukraine,Poland,C
Tuesday 21 June 2016,Croatia,Spain,D
Tuesday 21 June 2016,Czech Republic,Turkey,D
Wednesday 22 June 2016,Hungary,Portugal,F
Wednesday 22 June 2016,Iceland,Austria,F
Wednesday 22 June 2016,Sweden,Belgium,E
Wednesday 22 June 2016,Italy,Republic of Ireland,E
